ID,Collected_date,abs_url,html_url,Title,Authors,Submitted,Originally_announced,Subjects
0,2025-08-24 13:28:33,https://arxiv.org/abs/2508.11647,https://arxiv.org/html/2508.11647,Categorical Construction of Logically Verifiable Neural Architectures,Logan Nye,"2 August, 2025",August 2025,cs.LO; cs.AI
1,2025-08-24 13:28:35,https://arxiv.org/abs/2508.11644,https://arxiv.org/html/2508.11644,HetSyn: Versatile Timescale Integration in Spiking Neural Networks via Heterogeneous Synapses,Zhichao Deng; Zhikun Liu; Junxue Wang; Shengqian Chen; Xiang Wei; Qiang Yu,"1 August, 2025",August 2025,q-bio.NC; cs.LG
2,2025-08-24 13:28:39,https://arxiv.org/abs/2508.10918,https://arxiv.org/html/2508.10918,Privacy Enhancement for Gaze Data Using a Noise-Infused Autoencoder,Samantha Aziz; Oleg Komogortsev,"1 August, 2025",August 2025,cs.CV; cs.HC
3,2025-08-24 13:28:33,https://arxiv.org/abs/2508.10917,https://arxiv.org/html/2508.10917,Managing the unexpected: Operator behavioural data and its value in predicting correct alarm responses,Chidera W. Amazu; Joseph Mietkiewicz; Ammar N. Abbas; Gabriele Baldissone; Davide Fissore; Micaela Demichela; Anders L. Madsen; Maria Chiara Leva,"1 August, 2025",August 2025,cs.HC; cs.AI
4,2025-08-24 13:28:33,https://arxiv.org/abs/2508.10916,https://arxiv.org/html/2508.10916,Multimodal Quantitative Measures for Multiparty Behaviour Evaluation,Ojas Shirekar; Wim Pouw; Chenxu Hao; Vrushank Phadnis; Thabo Beeler; Chirag Raman,"1 August, 2025",August 2025,cs.HC; cs.AI; cs.CY; cs.MA
5,2025-08-24 13:28:35,https://arxiv.org/abs/2508.10915,https://arxiv.org/html/2508.10915,Insect-Wing Structured Microfluidic System for Reservoir Computing,Jacob Clouse; Thomas Ramsey; Samitha Somathilaka; Nicholas Kleinsasser; Sangjin Ryu; Sasitharan Balasubramaniam,"1 August, 2025",August 2025,cs.NE; cs.ET; cs.LG
6,2025-08-24 13:28:37,https://arxiv.org/abs/2508.09997,https://arxiv.org/html/2508.09997,Thematic and Task-Based Categorization of K-12 GenAI Usages with Hierarchical Topic Modeling,Johannes Schneider; Béatrice S. Hasler; Michaela Varrone; Fabian Hoya; Thomas Schroffenegger; Dana-Kristin Mah; Karl Peböck,"1 August, 2025",August 2025,cs.CL; cs.CY
7,2025-08-24 13:28:34,https://arxiv.org/abs/2508.09148,https://arxiv.org/html/2508.09148,Motif 2.6B Technical Report,Junghwan Lim; Sungmin Lee; Dongseok Kim; Eunhwan Park; Hyunbyung Park; Junhyeok Lee; Wai Ting Cheung; Dahye Choi; Jaeheui Her; Jaeyeon Huh; Hanbin Jung; Changjin Kang; Beomgyu Kim; Jihwan Kim; Minjae Kim; Taehwan Kim; Youngrok Kim; Haesol Lee; Jeesoo Lee; Kungyu Lee; Dongpin Oh; Yeongjae Park; Bokki Ryu; Daewon Suh; Dongjoo Weon,"2 August, 2025",August 2025,cs.LG; cs.AI
8,2025-08-24 13:28:34,https://arxiv.org/abs/2508.09147,https://arxiv.org/html/2508.09147,Agentic TinyML for Intent-aware Handover in 6G Wireless Networks,Alaa Saleh; Roberto Morabito; Sasu Tarkoma; Anders Lindgren; Susanna Pirttikangas; Lauri Lovén,"2 August, 2025",August 2025,cs.NI; cs.AI; cs.DC; cs.LG; cs.MA
9,2025-08-24 13:28:33,https://arxiv.org/abs/2508.08283,https://arxiv.org/html/2508.08283,MinionsLLM: a Task-adaptive Framework For The Training and Control of Multi-Agent Systems Through Natural Language,Andres Garcia Rincon; Eliseo Ferrante,"1 August, 2025",August 2025,cs.CL; cs.AI; cs.LG; cs.MA; cs.RO
10,2025-08-24 13:28:33,https://arxiv.org/abs/2508.08281,https://arxiv.org/html/2508.08281,Multi-grained spatial-temporal feature complementarity for accurate online cellular traffic prediction,Ningning Fu; Shengheng Liu; Weiliang Xie; Yongming Huang,"1 August, 2025",August 2025,cs.LG; cs.AI; cs.NI
11,2025-08-24 13:28:33,https://arxiv.org/abs/2508.08280,https://arxiv.org/html/2508.08280,MoSSDA: A Semi-Supervised Domain Adaptation Framework for Multivariate Time-Series Classification using Momentum Encoder,Seonyoung Kim; Dongil Kim,"1 August, 2025",August 2025,cs.LG; cs.AI; cs.CV
12,2025-08-24 13:28:37,https://arxiv.org/abs/2508.06530,https://arxiv.org/html/2508.06530,"What Makes ""Good"" Distractors for Object Hallucination Evaluation in Large Vision-Language Models?",Ming-Kun Xie; Jia-Hao Xiao; Gang Niu; Lei Feng; Zhiqiang Kou; Min-Ling Zhang; Masashi Sugiyama,"2 August, 2025",August 2025,cs.CV; cs.LG
13,2025-08-24 13:28:37,https://arxiv.org/abs/2508.06529,https://arxiv.org/html/2508.06529,RMT-PPAD: Real-time Multi-task Learning for Panoptic Perception in Autonomous Driving,Jiayuan Wang; Q. M. Jonathan Wu; Katsuya Suto; Ning Zhang,"2 August, 2025",August 2025,cs.CV; cs.LG
14,2025-08-24 13:28:34,https://arxiv.org/abs/2508.06528,https://arxiv.org/html/2508.06528,A Framework Combining 3D CNN and Transformer for Video-Based Behavior Recognition,Xiuliang Zhang; Tadiwa Elisha Nyamasvisva; Chuntao Liu,"2 August, 2025",August 2025,cs.CV; cs.AI
15,2025-08-24 13:28:33,https://arxiv.org/abs/2508.06526,https://arxiv.org/html/2508.06526,PiKV: KV Cache Management System for Mixture of Experts,Dong Liu; Yanxuan Yu; Ben Lengerich; Ying Nian Wu; Xuhong Wang,"1 August, 2025",August 2025,cs.DC; cs.AI; cs.AR
16,2025-08-24 13:28:39,https://arxiv.org/abs/2508.06525,https://arxiv.org/html/2508.06525,Large Language Models Facilitate Vision Reflection in Image Classification,Guoyuan An; JaeYoon Kim; SungEui Yoon,"1 August, 2025",August 2025,cs.CV
17,2025-08-24 13:28:33,https://arxiv.org/abs/2508.06524,https://arxiv.org/html/2508.06524,CarbonScaling: Extending Neural Scaling Laws for Carbon Footprint in Large Language Models,Lei Jiang; Fan Chen,"1 August, 2025",August 2025,cs.CL; cs.AI; cs.CY; cs.DC; cs.LG
18,2025-08-24 13:28:33,https://arxiv.org/abs/2508.05667,https://arxiv.org/html/2508.05667,ITDR: An Instruction Tuning Dataset for Enhancing Large Language Models in Recommendations,Zekun Liu; Xiaowen Huang; Jitao Sang,"1 August, 2025",August 2025,cs.IR; cs.AI
19,2025-08-24 13:28:33,https://arxiv.org/abs/2508.05666,https://arxiv.org/html/2508.05666,HySemRAG: A Hybrid Semantic Retrieval-Augmented Generation Framework for Automated Literature Synthesis and Methodological Gap Analysis,Alejandro Godinez,"1 August, 2025",August 2025,cs.IR; cs.AI; cs.LG
20,2025-08-24 13:28:33,https://arxiv.org/abs/2508.05664,https://arxiv.org/html/2508.05664,Enhancing Retrieval-Augmented Generation for Electric Power Industry Customer Support,Hei Yu Chan; Kuok Tou Ho; Chenglong Ma; Yujing Si; Hok Lai Lin; Sa Lei Lam,"1 August, 2025",August 2025,cs.IR; cs.AI; cs.CL
21,2025-08-24 13:28:34,https://arxiv.org/abs/2508.03747,https://arxiv.org/html/2508.03747,Data-Driven Discovery of Mobility Periodicity for Understanding Urban Transportation Systems,Xinyu Chen; Qi Wang; Yunhan Zheng; Nina Cao; HanQin Cai; Jinhua Zhao,"2 August, 2025",August 2025,cs.SI; cs.AI; cs.LG
22,2025-08-24 13:28:33,https://arxiv.org/abs/2508.03745,https://arxiv.org/html/2508.03745,Tobler's First Law in GeoAI: A Spatially Explicit Deep Learning Model for Terrain Feature Detection Under Weak Supervision,Wenwen Li; Chia-Yu Hsu; Maosheng Hu,"1 August, 2025",August 2025,cs.CV; cs.AI
23,2025-08-24 13:28:33,https://arxiv.org/abs/2508.03744,https://arxiv.org/html/2508.03744,Do We Need Pre-Processing for Deep Learning Based Ultrasound Shear Wave Elastography?,Sarah Grube; Sören Grünhagen; Sarah Latus; Michael Meyling; Alexander Schlaefer,"1 August, 2025",August 2025,eess.IV; cs.AI; cs.CV
24,2025-08-24 13:28:33,https://arxiv.org/abs/2508.03742,https://arxiv.org/html/2508.03742,Boosting Vision Semantic Density with Anatomy Normality Modeling for Medical Vision-language Pre-training,Weiwei Cao; Jianpeng Zhang; Zhongyi Shui; Sinuo Wang; Zeli Chen; Xi Li; Le Lu; Xianghua Ye; Tingbo Liang; Qi Zhang; Ling Zhang,"1 August, 2025",August 2025,eess.IV; cs.AI; cs.CV; cs.LG
25,2025-08-24 13:28:34,https://arxiv.org/abs/2508.03673,https://arxiv.org/html/2508.03673,Classifying Epistemic Relationships in Human-AI Interaction: An Exploratory Approach,Shengnan Yang; Rongqian Ma,"2 August, 2025",August 2025,cs.HC; cs.AI; cs.CY
